Dataset,Threads,Branchs,Algorithm,Average Elapsed Time,Average Guess,Average Max Depth
puzzles5_forum_hardest_1905_11+,4,16,Cross Hatching,0.00068011,28.218,7.339
puzzles5_forum_hardest_1905_11+,8,8,Cross Hatching,0.00042499,46.8912,8.4246
puzzles5_forum_hardest_1905_11+,8,16,Cross Hatching,0.00046761,28.218,7.339
puzzles5_forum_hardest_1905_11+,8,24,Cross Hatching,0.00051573,23.2842,6.9206
puzzles5_forum_hardest_1905_11+,8,32,Cross Hatching,0.00056172,21.3495,6.7417
puzzles5_forum_hardest_1905_11+,16,16,Cross Hatching,0.00037072,28.218,7.339
puzzles5_forum_hardest_1905_11+,16,32,Cross Hatching,0.00045995,21.3495,6.7417
puzzles5_forum_hardest_1905_11+,16,48,Cross Hatching,0.00050772,20.4363,6.6409
puzzles5_forum_hardest_1905_11+,16,64,Cross Hatching,0.00050268,20.2207,6.6202
puzzles5_forum_hardest_1905_11+,32,32,Cross Hatching,0.00051899,21.3495,6.7417
puzzles5_forum_hardest_1905_11+,32,64,Cross Hatching,0.00057086,20.2207,6.6202
puzzles5_forum_hardest_1905_11+,32,96,Cross Hatching,0.00058132,20.1772,6.6161
